2026-08-08 02:12:22,080 | INFO | Classification report saved.
2026-08-08 02:12:22,753 | INFO | Sklearn metrics computed and saved.
2026-08-08 02:12:23,390 | INFO | Inference time: 14.11 ms/image (44 samples)
2026-08-08 02:12:23,391 | INFO | Model size: 21.67 MB
2026-08-08 02:12:32,908 | INFO | Training curves saved.
2026-08-08 02:12:32,928 | INFO | Training report generated.
2026-08-08 02:12:32,934 | INFO | Benchmark results updated for improved_cnn
2026-08-08 02:12:32,934 | INFO | Training pipeline completed.
2026-08-08 02:25:33,291 | INFO | Trainer initialized.
2026-08-08 02:25:33,292 | INFO | Trainer validated.
2026-08-08 02:25:33,299 | INFO | Starting training...
2026-08-08 02:25:33,320 | INFO | Class weights: {0: 3.642857142857143, 1: 3.4, 2: 3.4, 3: 0.31875}
2026-08-08 02:26:51,621 | INFO | Training completed in 0:01:18.322020.
2026-08-08 02:26:51,624 | INFO | Training history saved.
2026-08-08 02:26:52,191 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\mobilenet_v2\best_model.keras
2026-08-08 02:26:52,191 | INFO | Evaluating model...
2026-08-08 02:26:52,831 | INFO | Model evaluation completed.
2026-08-08 02:26:52,833 | INFO | Metrics exported.
2026-08-08 02:26:56,259 | INFO | Confusion matrix computed and saved.
2026-08-08 02:26:56,929 | INFO | Classification report saved.
2026-08-08 02:26:57,704 | INFO | Sklearn metrics computed and saved.
2026-08-08 02:26:58,399 | INFO | Inference time: 15.49 ms/image (44 samples)
2026-08-08 02:26:58,399 | INFO | Model size: 9.24 MB
2026-08-08 02:26:59,968 | INFO | Training curves saved.
2026-08-08 02:26:59,973 | INFO | Training report generated.
2026-08-08 02:26:59,977 | INFO | Benchmark results updated for mobilenet_v2
2026-08-08 02:26:59,977 | INFO | Training pipeline completed.
2026-08-08 02:58:21,816 | INFO | Trainer initialized.
2026-08-08 02:58:21,816 | INFO | Trainer validated.
2026-08-08 02:58:21,824 | INFO | Starting training...
2026-08-08 02:58:21,841 | INFO | Class weights: {0: 3.642857142857143, 1: 3.4, 2: 3.4, 3: 0.31875}
2026-08-08 03:00:04,160 | INFO | Training completed in 0:01:42.335246.
2026-08-08 03:00:04,162 | INFO | Training history saved.
2026-08-08 03:00:05,674 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\resnet50\best_model.keras
2026-08-08 03:00:05,674 | INFO | Evaluating model...
2026-08-08 03:00:07,357 | INFO | Model evaluation completed.
2026-08-08 03:00:07,361 | INFO | Metrics exported.
2026-08-08 03:00:12,707 | INFO | Confusion matrix computed and saved.
2026-08-08 03:00:14,276 | INFO | Classification report saved.
2026-08-08 03:00:15,757 | INFO | Sklearn metrics computed and saved.
2026-08-08 03:00:17,184 | INFO | Inference time: 32.11 ms/image (44 samples)
2026-08-08 03:00:17,185 | INFO | Model size: 90.71 MB
2026-08-08 03:00:18,829 | INFO | Training curves saved.
2026-08-08 03:00:18,835 | INFO | Training report generated.
2026-08-08 03:00:18,839 | INFO | Benchmark results updated for resnet50
2026-08-08 03:00:18,839 | INFO | Training pipeline completed.
2026-08-08 03:02:03,175 | INFO | Trainer initialized.
2026-08-08 03:02:03,175 | INFO | Trainer validated.
2026-08-08 03:02:03,180 | INFO | Starting training...
2026-08-08 03:02:03,194 | INFO | Class weights: {0: 3.642857142857143, 1: 3.4, 2: 3.4, 3: 0.31875}
2026-08-08 03:03:13,801 | INFO | Training completed in 0:01:10.620309.
2026-08-08 03:03:13,803 | INFO | Training history saved.
2026-08-08 03:03:14,286 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\efficientnet_b0\best_model.keras
2026-08-08 03:03:14,286 | INFO | Evaluating model...
2026-08-08 03:03:14,982 | INFO | Model evaluation completed.
2026-08-08 03:03:14,983 | INFO | Metrics exported.
2026-08-08 03:03:18,766 | INFO | Confusion matrix computed and saved.
2026-08-08 03:03:19,486 | INFO | Classification report saved.
2026-08-08 03:03:20,386 | INFO | Sklearn metrics computed and saved.
2026-08-08 03:03:21,056 | INFO | Inference time: 14.99 ms/image (44 samples)
2026-08-08 03:03:21,057 | INFO | Model size: 16.32 MB
2026-08-08 03:03:21,944 | INFO | Training curves saved.
2026-08-08 03:03:21,948 | INFO | Training report generated.
2026-08-08 03:03:21,952 | INFO | Benchmark results updated for efficientnet_b0
2026-08-08 03:03:21,952 | INFO | Training pipeline completed.
2026-08-08 14:54:41,384 | INFO | Trainer initialized.
2026-08-08 14:54:41,385 | INFO | Trainer validated.
2026-08-08 14:54:41,458 | INFO | Starting training...
2026-08-08 14:54:41,490 | INFO | Class weights: {0: 3.642857142857143, 1: 3.4, 2: 3.4, 3: 0.31875}
2026-08-08 14:58:07,483 | INFO | Training completed in 0:03:26.024468.
2026-08-08 14:58:07,486 | INFO | Training history saved.
2026-08-08 14:58:07,840 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\mobilenet_v2\best_model.keras
2026-08-08 14:58:07,840 | INFO | Evaluating model...
2026-08-08 14:58:08,351 | INFO | Model evaluation completed.
2026-08-08 14:58:08,440 | INFO | Metrics exported.
2026-08-08 14:58:10,620 | INFO | Confusion matrix computed and saved.
2026-08-08 14:58:11,180 | INFO | Classification report saved.
2026-08-08 14:58:11,717 | INFO | Sklearn metrics computed and saved.
2026-08-08 14:58:12,230 | INFO | Inference time: 11.44 ms/image (44 samples)
2026-08-08 14:58:12,230 | INFO | Model size: 9.24 MB
2026-08-08 14:58:13,207 | INFO | Training curves saved.
2026-08-08 14:58:13,209 | INFO | Training report generated.
2026-08-08 14:58:13,212 | INFO | Benchmark results updated for mobilenet_v2
2026-08-08 14:58:13,212 | INFO | Training pipeline completed.
2026-08-08 14:58:56,117 | INFO | Trainer initialized.
2026-08-08 14:58:56,117 | INFO | Trainer validated.
2026-08-08 14:58:59,407 | INFO | Starting training...
2026-08-08 14:58:59,449 | INFO | Class weights: {0: 3.642857142857143, 1: 3.4, 2: 3.4, 3: 0.31875}
2026-08-08 15:01:34,268 | INFO | Training completed in 0:02:34.859403.
2026-08-08 15:01:34,270 | INFO | Training history saved.
2026-08-08 15:01:34,698 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\efficientnet_b0\best_model.keras
2026-08-08 15:01:34,698 | INFO | Evaluating model...
2026-08-08 15:01:35,287 | INFO | Model evaluation completed.
2026-08-08 15:01:35,288 | INFO | Metrics exported.
2026-08-08 15:01:38,579 | INFO | Confusion matrix computed and saved.
2026-08-08 15:01:39,185 | INFO | Classification report saved.
2026-08-08 15:01:39,853 | INFO | Sklearn metrics computed and saved.
2026-08-08 15:01:40,494 | INFO | Inference time: 14.33 ms/image (44 samples)
2026-08-08 15:01:40,494 | INFO | Model size: 16.32 MB
2026-08-08 15:01:41,254 | INFO | Training curves saved.
2026-08-08 15:01:41,257 | INFO | Training report generated.
2026-08-08 15:01:41,260 | INFO | Benchmark results updated for efficientnet_b0
2026-08-08 15:01:41,260 | INFO | Training pipeline completed.
2026-08-08 15:17:36,089 | INFO | Trainer initialized.
2026-08-08 15:17:36,090 | INFO | Trainer validated.
2026-08-08 15:17:36,148 | INFO | Starting training...
2026-08-08 15:17:36,165 | INFO | Class weights: {0: 3.642857142857143, 1: 3.4, 2: 3.4, 3: 0.31875}
2026-08-08 15:20:12,122 | INFO | Training completed in 0:02:35.974044.
2026-08-08 15:20:12,127 | INFO | Training history saved.
2026-08-08 15:20:12,973 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\resnet50\best_model.keras
2026-08-08 15:20:12,974 | INFO | Evaluating model...
2026-08-08 15:20:14,091 | INFO | Model evaluation completed.
2026-08-08 15:20:14,093 | INFO | Metrics exported.
2026-08-08 15:20:17,570 | INFO | Confusion matrix computed and saved.
2026-08-08 15:20:18,796 | INFO | Classification report saved.
2026-08-08 15:20:20,008 | INFO | Sklearn metrics computed and saved.
2026-08-08 15:20:21,202 | INFO | Inference time: 26.89 ms/image (44 samples)
2026-08-08 15:20:21,202 | INFO | Model size: 90.71 MB
2026-08-08 15:20:22,082 | INFO | Training curves saved.
2026-08-08 15:20:22,085 | INFO | Training report generated.
2026-08-08 15:20:22,088 | INFO | Benchmark results updated for resnet50
2026-08-08 15:20:22,088 | INFO | Training pipeline completed.
2026-08-08 15:22:10,320 | INFO | Trainer initialized.
2026-08-08 15:22:10,320 | INFO | Trainer validated.
2026-08-08 15:22:10,347 | INFO | Starting training...
2026-08-08 15:22:10,359 | INFO | Class weights: {0: 3.642857142857143, 1: 3.4, 2: 3.4, 3: 0.31875}
2026-08-08 15:24:04,814 | INFO | Training completed in 0:01:54.462870.
2026-08-08 15:24:04,824 | INFO | Training history saved.
2026-08-08 15:24:05,002 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\improved_cnn\best_model.keras
2026-08-08 15:24:05,002 | INFO | Evaluating model...
2026-08-08 15:24:05,386 | INFO | Model evaluation completed.
2026-08-08 15:24:05,387 | INFO | Metrics exported.
2026-08-08 15:24:06,317 | INFO | Confusion matrix computed and saved.
2026-08-08 15:24:06,766 | INFO | Classification report saved.
2026-08-08 15:24:07,178 | INFO | Sklearn metrics computed and saved.
2026-08-08 15:24:07,596 | INFO | Inference time: 9.27 ms/image (44 samples)
2026-08-08 15:24:07,597 | INFO | Model size: 21.68 MB
2026-08-08 15:24:08,811 | INFO | Training curves saved.
2026-08-08 15:24:08,814 | INFO | Training report generated.
2026-08-08 15:24:08,817 | INFO | Benchmark results updated for improved_cnn
2026-08-08 15:24:08,818 | INFO | Training pipeline completed.
2026-08-08 15:25:12,434 | INFO | Trainer initialized.
2026-08-08 15:25:12,434 | INFO | Trainer validated.
2026-08-08 15:25:12,461 | INFO | Starting training...
2026-08-08 15:25:12,471 | INFO | Class weights: {0: 3.642857142857143, 1: 3.4, 2: 3.4, 3: 0.31875}
2026-08-08 15:27:37,962 | INFO | Training completed in 0:02:25.500479.
2026-08-08 15:27:37,963 | INFO | Training history saved.
2026-08-08 15:27:38,125 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\improved_cnn\best_model.keras
2026-08-08 15:27:38,126 | INFO | Evaluating model...
2026-08-08 15:27:38,516 | INFO | Model evaluation completed.
2026-08-08 15:27:38,517 | INFO | Metrics exported.
2026-08-08 15:27:39,236 | INFO | Confusion matrix computed and saved.
2026-08-08 15:27:39,657 | INFO | Classification report saved.
2026-08-08 15:27:40,070 | INFO | Sklearn metrics computed and saved.
2026-08-08 15:27:40,500 | INFO | Inference time: 9.53 ms/image (44 samples)
2026-08-08 15:27:40,500 | INFO | Model size: 21.68 MB
2026-08-08 15:27:41,225 | INFO | Training curves saved.
2026-08-08 15:27:41,227 | INFO | Training report generated.
2026-08-08 15:27:41,229 | INFO | Benchmark results updated for improved_cnn
2026-08-08 15:27:41,229 | INFO | Training pipeline completed.
2026-08-08 15:51:06,351 | INFO | Trainer initialized.
2026-08-08 15:51:06,352 | INFO | Trainer validated.
2026-08-08 15:51:06,390 | INFO | Starting training...
2026-08-08 15:51:06,412 | INFO | Class weights: {0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0}
2026-08-08 16:01:46,989 | INFO | Trainer initialized.
2026-08-08 16:01:46,989 | INFO | Trainer validated.
2026-08-08 16:01:47,021 | INFO | Starting training...
2026-08-08 16:01:47,037 | INFO | Class weights: {0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0}
2026-08-08 16:14:40,028 | INFO | Training completed in 0:12:53.006572.
2026-08-08 16:14:40,030 | INFO | Training history saved.
2026-08-08 16:14:40,192 | INFO | Model saved successfully: C:\Users\Lenovo\Desktop\VisionInspectIA\ai\saved_models\improved_cnn\best_model.keras
2026-08-08 16:14:40,192 | INFO | Evaluating model...
2026-08-08 16:14:41,398 | INFO | Model evaluation completed.
2026-08-08 16:14:41,400 | INFO | Metrics exported.
2026-08-08 16:14:42,967 | INFO | Confusion matrix computed and saved.
2026-08-08 16:14:44,228 | INFO | Classification report saved.
2026-08-08 16:14:45,513 | INFO | Sklearn metrics computed and saved.
2026-08-08 16:14:46,527 | INFO | Inference time: 7.84 ms/image (128 samples)
2026-08-08 16:14:46,527 | INFO | Model size: 21.68 MB
2026-08-08 16:14:47,296 | INFO | Training curves saved.
2026-08-08 16:14:47,298 | INFO | Training report generated.
2026-08-08 16:14:47,300 | INFO | Benchmark results updated for improved_cnn
2026-08-08 16:14:47,300 | INFO | Training pipeline completed.
2026-08-08 16:19:05,656 | INFO | Trainer initialized.
2026-08-08 16:19:05,656 | INFO | Trainer validated.
2026-08-08 16:19:05,685 | INFO | Starting training...
